file,x1,x2,y1,y2
3953073564.jpg,30,170,34,151
386891249.jpg,52,146,50,136
3743856885.jpg,23,206,25,181
4758382348.jpg,37,185,37,177
18945268.jpg,94,125,99,119
3005794070.jpg,49,171,46,159
2962045.jpg,49,147,45,134
145074777.jpg,35,173,36,161
3189955469.jpg,83,110,90,114
3496048941.jpg,110,137,111,139
3154099645.jpg,68,114,67,118
4763209871.jpg,75,94,74,90
3455836079.jpg,66,140,72,136
4425356623.jpg,61,151,56,140
3190306185.jpg,113,150,112,153
18945268.jpg,94,125,99,119
2219451836.jpg,28,193,31,179
332368134.jpg,118,195,116,188
246526320.jpg,70,93,73,94
3726202356.jpg,54,146,52,145
3907299992.jpg,46,152,50,139
229840376.jpg,85,110,87,111
3117510822.jpg,98,126,106,136
170453766.jpg,88,119,93,122
18945268.jpg,94,125,99,119
2422219264.jpg,46,178,45,186
4283515433.jpg,66,88,68,88
170557401.jpg,79,134,87,128
3733440395.jpg,119,136,121,140
4152379789.jpg,81,111,86,105
229746392.jpg,53,162,58,145
3270912795.jpg,67,98,65,98
4763210295.jpg,73,90,71,85
3733440395.jpg,119,136,121,140
3906524725.jpg,75,130,75,128
3585256422.jpg,81,120,85,118
4486111617.jpg,82,121,85,119
4448830339.jpg,51,69,51,68
4371354206.jpg,107,138,106,138
3539566827.jpg,104,125,105,125
2789662807.jpg,42,154,40,147
3369768399.jpg,59,139,62,139
3117510822.jpg,98,126,106,136
321721915.jpg,59,136,65,124
185712356.jpg,35,193,35,188
18945268.jpg,94,125,99,119
202435355.jpg,44,159,44,150
50471578.jpg,21,194,18,173
3189955469.jpg,83,110,90,114
2406598998.jpg,56,172,58,162
4152379789.jpg,81,111,86,105
779749903.jpg,30,198,25,191
3270912795.jpg,67,98,65,98
4283515483.jpg,86,117,82,110
3539566827.jpg,104,125,105,125
3256349355.jpg,47,148,49,138
542894584.jpg,81,112,85,108
2792685284.jpg,45,142,42,119
3831371619.jpg,92,134,82,134
3539566827.jpg,104,125,105,125
229840376.jpg,85,110,87,111
3831371619.jpg,92,134,82,134
3539566827.jpg,104,125,105,125
3117510822.jpg,98,126,106,136
3270912795.jpg,67,98,65,98
2463686290.jpg,63,107,65,105
2356560497.jpg,39,171,34,162
3577850173.jpg,77,98,78,99
4376175015.jpg,71,110,77,108
2618900486.jpg,85,143,86,140
2364685038.jpg,27,190,29,170
3301525494.jpg,41,178,38,174
3777915073.jpg,86,119,92,119
3907306684.jpg,34,175,31,165
2978106177.jpg,27,177,28,169
3577850173.jpg,77,98,78,99
3577850173.jpg,77,98,78,99
3415435326.jpg,45,152,48,144
42948260.jpg,25,200,25,183
2121332821.jpg,52,169,50,162
3547613093.jpg,62,147,58,149
3953073564.jpg,30,170,34,151
3733440395.jpg,119,136,121,140
3117510822.jpg,98,126,106,136
542894584.jpg,81,112,85,108
2463686290.jpg,63,107,65,105
2519368987.jpg,74,107,74,104
3539566827.jpg,104,125,105,125
4749057567.jpg,28,186,27,172
557839607.jpg,66,100,66,96
4376175015.jpg,71,110,77,108
3759339764.jpg,71,119,91,120
18945268.jpg,94,125,99,119
4771735876.jpg,69,94,70,94
2169121853.jpg,37,175,38,155
3777915073.jpg,86,119,92,119
3761584256.jpg,52,157,54,143
4013254976.jpg,43,170,48,151
2435838064.jpg,34,170,33,160
3117510822.jpg,98,126,106,136
