file,x1,x2,y1,y2
3953073564.jpg,27,156,30,136
386891249.jpg,60,137,57,133
3743856885.jpg,25,195,37,165
4758382348.jpg,22,196,24,192
18945268.jpg,70,99,73,91
3005794070.jpg,35,166,29,154
2962045.jpg,49,148,40,132
145074777.jpg,24,182,32,171
3189955469.jpg,70,95,74,95
3496048941.jpg,108,129,104,130
3154099645.jpg,60,108,59,111
4763209871.jpg,75,95,71,89
3455836079.jpg,65,141,73,136
4425356623.jpg,64,139,56,129
3190306185.jpg,109,133,105,136
18945268.jpg,70,99,73,91
2219451836.jpg,21,191,27,177
332368134.jpg,108,177,107,174
246526320.jpg,68,90,69,90
3726202356.jpg,52,138,52,135
3907299992.jpg,50,154,58,143
229840376.jpg,87,108,85,107
3117510822.jpg,89,112,93,118
170453766.jpg,86,112,89,114
18945268.jpg,70,99,73,91
2422219264.jpg,56,177,51,208
4283515433.jpg,68,91,69,89
170557401.jpg,76,130,90,130
3733440395.jpg,138,151,134,153
4152379789.jpg,76,101,80,96
229746392.jpg,47,156,57,141
3270912795.jpg,55,87,52,82
4763210295.jpg,77,96,74,90
3733440395.jpg,138,151,134,153
3906524725.jpg,75,121,78,122
3585256422.jpg,78,114,81,111
4486111617.jpg,86,115,86,113
4448830339.jpg,57,77,55,73
4371354206.jpg,103,123,97,122
3539566827.jpg,96,115,94,111
2789662807.jpg,49,152,46,148
3369768399.jpg,62,131,65,133
3117510822.jpg,89,112,93,118
321721915.jpg,59,129,66,117
185712356.jpg,32,177,35,187
18945268.jpg,70,99,73,91
202435355.jpg,43,152,45,145
50471578.jpg,17,201,14,173
3189955469.jpg,70,95,74,95
2406598998.jpg,48,167,55,159
4152379789.jpg,76,101,80,96
779749903.jpg,25,204,19,207
3270912795.jpg,55,87,52,82
4283515483.jpg,84,114,78,105
3539566827.jpg,96,115,94,111
3256349355.jpg,51,141,56,134
542894584.jpg,73,100,74,95
2792685284.jpg,44,137,38,105
3831371619.jpg,96,136,83,136
3539566827.jpg,96,115,94,111
229840376.jpg,87,108,85,107
3831371619.jpg,96,136,83,136
3539566827.jpg,96,115,94,111
3117510822.jpg,89,112,93,118
3270912795.jpg,55,87,52,82
2463686290.jpg,55,107,58,106
2356560497.jpg,40,163,34,163
3577850173.jpg,78,100,78,99
4376175015.jpg,67,106,73,105
2618900486.jpg,77,126,82,125
2364685038.jpg,17,202,24,179
3301525494.jpg,38,168,35,173
3777915073.jpg,75,103,80,103
3907306684.jpg,31,168,31,164
2978106177.jpg,24,173,26,169
3577850173.jpg,78,100,78,99
3577850173.jpg,78,100,78,99
3415435326.jpg,41,151,47,137
42948260.jpg,24,176,27,164
2121332821.jpg,57,169,52,168
3547613093.jpg,65,154,65,165
3953073564.jpg,27,156,30,136
3733440395.jpg,138,151,134,153
3117510822.jpg,89,112,93,118
542894584.jpg,73,100,74,95
2463686290.jpg,55,107,58,106
2519368987.jpg,68,98,69,94
3539566827.jpg,96,115,94,111
4749057567.jpg,20,179,24,168
557839607.jpg,66,99,63,93
4376175015.jpg,67,106,73,105
3759339764.jpg,60,107,82,113
18945268.jpg,70,99,73,91
4771735876.jpg,63,90,63,90
2169121853.jpg,27,192,35,162
3777915073.jpg,75,103,80,103
3761584256.jpg,53,149,60,134
4013254976.jpg,34,177,44,157
2435838064.jpg,32,157,30,157
3117510822.jpg,89,112,93,118
