file,x1,x2,y1,y2
3953073564.jpg,30,146,28,137
386891249.jpg,59,118,57,112
3743856885.jpg,22,182,19,171
4758382348.jpg,45,147,42,140
18945268.jpg,83,103,85,102
3005794070.jpg,62,134,60,127
2962045.jpg,55,129,53,122
145074777.jpg,50,123,47,115
3189955469.jpg,80,102,81,100
3496048941.jpg,80,104,81,102
3154099645.jpg,63,113,62,108
4763209871.jpg,73,95,75,93
3455836079.jpg,55,133,52,125
4425356623.jpg,54,136,51,127
3190306185.jpg,75,120,74,116
18945268.jpg,83,103,85,102
2219451836.jpg,40,172,37,162
332368134.jpg,66,139,64,131
246526320.jpg,76,99,78,97
3726202356.jpg,59,130,58,124
3907299992.jpg,40,131,38,123
229840376.jpg,75,99,76,97
3117510822.jpg,88,113,90,111
170453766.jpg,77,114,77,110
18945268.jpg,83,103,85,102
2422219264.jpg,37,157,34,149
4283515433.jpg,74,101,74,99
170557401.jpg,65,110,64,105
3733440395.jpg,101,125,104,123
4152379789.jpg,69,87,70,86
229746392.jpg,46,143,44,133
3270912795.jpg,67,101,67,98
4763210295.jpg,61,77,63,76
3733440395.jpg,101,125,104,123
3906524725.jpg,66,109,65,103
3585256422.jpg,70,113,69,108
4486111617.jpg,76,113,76,110
4448830339.jpg,66,89,66,87
4371354206.jpg,79,112,80,109
3539566827.jpg,87,106,89,105
2789662807.jpg,42,140,39,131
3369768399.jpg,55,120,53,114
3117510822.jpg,88,113,90,111
321721915.jpg,58,117,57,111
185712356.jpg,37,166,33,156
18945268.jpg,83,103,85,102
202435355.jpg,48,149,45,140
50471578.jpg,23,162,19,152
3189955469.jpg,80,102,81,100
2406598998.jpg,62,124,60,117
4152379789.jpg,69,87,70,86
779749903.jpg,38,158,35,149
3270912795.jpg,67,101,67,98
4283515483.jpg,70,93,71,91
3539566827.jpg,87,106,89,105
3256349355.jpg,48,133,46,124
542894584.jpg,73,101,74,97
2792685284.jpg,47,128,44,119
3831371619.jpg,70,111,69,106
3539566827.jpg,87,106,89,105
229840376.jpg,75,99,76,97
3831371619.jpg,70,111,69,106
3539566827.jpg,87,106,89,105
3117510822.jpg,88,113,90,111
3270912795.jpg,67,101,67,98
2463686290.jpg,63,114,63,109
2356560497.jpg,42,140,40,132
3577850173.jpg,73,91,75,90
4376175015.jpg,65,98,65,94
2618900486.jpg,75,119,74,115
2364685038.jpg,39,138,36,129
3301525494.jpg,49,153,46,144
3777915073.jpg,76,105,76,102
3907306684.jpg,41,153,38,144
2978106177.jpg,34,176,31,166
3577850173.jpg,73,91,75,90
3577850173.jpg,73,91,75,90
3415435326.jpg,45,131,43,125
42948260.jpg,32,194,29,183
2121332821.jpg,43,142,40,133
3547613093.jpg,53,129,52,124
3953073564.jpg,30,146,28,137
3733440395.jpg,101,125,104,123
3117510822.jpg,88,113,90,111
542894584.jpg,73,101,74,97
2463686290.jpg,63,114,63,109
2519368987.jpg,69,105,69,101
3539566827.jpg,87,106,89,105
4749057567.jpg,38,143,34,134
557839607.jpg,63,95,63,91
4376175015.jpg,65,98,65,94
3759339764.jpg,65,94,65,90
18945268.jpg,83,103,85,102
4771735876.jpg,73,96,74,94
2169121853.jpg,48,118,46,111
3777915073.jpg,76,105,76,102
3761584256.jpg,55,129,52,121
4013254976.jpg,68,118,67,112
2435838064.jpg,49,164,45,155
3117510822.jpg,88,113,90,111
