file,x1,x2,y1,y2
3953073564.jpg,26,152,32,145
386891249.jpg,50,135,55,128
3743856885.jpg,14,201,15,184
4758382348.jpg,47,172,44,163
18945268.jpg,81,113,89,110
3005794070.jpg,61,150,62,146
2962045.jpg,55,153,53,144
145074777.jpg,56,141,54,137
3189955469.jpg,84,108,88,110
3496048941.jpg,92,118,93,121
3154099645.jpg,76,127,77,131
4763209871.jpg,88,107,90,112
3455836079.jpg,68,146,69,147
4425356623.jpg,49,154,50,141
3190306185.jpg,79,130,78,129
18945268.jpg,81,113,89,110
2219451836.jpg,32,188,39,183
332368134.jpg,77,164,76,153
246526320.jpg,81,101,88,109
3726202356.jpg,67,143,68,145
3907299992.jpg,39,147,43,144
229840376.jpg,83,113,82,112
3117510822.jpg,101,123,108,132
170453766.jpg,81,126,82,127
18945268.jpg,81,113,89,110
2422219264.jpg,43,177,49,181
4283515433.jpg,83,112,84,112
170557401.jpg,75,120,77,120
3733440395.jpg,119,131,124,142
4152379789.jpg,70,100,74,94
229746392.jpg,51,165,51,150
3270912795.jpg,71,111,70,109
4763210295.jpg,81,92,82,97
3733440395.jpg,119,131,124,142
3906524725.jpg,72,130,71,121
3585256422.jpg,73,123,78,125
4486111617.jpg,75,131,74,125
4448830339.jpg,76,102,76,103
4371354206.jpg,81,124,81,126
3539566827.jpg,98,114,104,122
2789662807.jpg,49,161,48,151
3369768399.jpg,62,140,60,138
3117510822.jpg,101,123,108,132
321721915.jpg,60,132,61,128
185712356.jpg,33,181,32,172
18945268.jpg,81,113,89,110
202435355.jpg,50,172,50,162
50471578.jpg,14,180,17,170
3189955469.jpg,84,108,88,110
2406598998.jpg,65,146,63,138
4152379789.jpg,70,100,74,94
779749903.jpg,30,183,28,174
3270912795.jpg,71,111,70,109
4283515483.jpg,80,105,79,105
3539566827.jpg,98,114,104,122
3256349355.jpg,51,154,54,139
542894584.jpg,76,113,78,109
2792685284.jpg,48,150,51,134
3831371619.jpg,85,131,84,130
3539566827.jpg,98,114,104,122
229840376.jpg,83,113,82,112
3831371619.jpg,85,131,84,130
3539566827.jpg,98,114,104,122
3117510822.jpg,101,123,108,132
3270912795.jpg,71,111,70,109
2463686290.jpg,64,126,66,125
2356560497.jpg,44,160,41,152
3577850173.jpg,81,104,85,105
4376175015.jpg,73,115,80,113
2618900486.jpg,72,137,72,132
2364685038.jpg,36,174,36,154
3301525494.jpg,47,175,49,169
3777915073.jpg,82,118,84,118
3907306684.jpg,40,178,37,169
2978106177.jpg,31,189,30,181
3577850173.jpg,81,104,85,105
3577850173.jpg,81,104,85,105
3415435326.jpg,54,153,54,152
42948260.jpg,21,214,22,199
2121332821.jpg,53,164,51,155
3547613093.jpg,63,145,62,142
3953073564.jpg,26,152,32,145
3733440395.jpg,119,131,124,142
3117510822.jpg,101,123,108,132
542894584.jpg,76,113,78,109
2463686290.jpg,64,126,66,125
2519368987.jpg,76,123,74,116
3539566827.jpg,98,114,104,122
4749057567.jpg,35,170,32,157
557839607.jpg,71,111,69,109
4376175015.jpg,73,115,80,113
3759339764.jpg,66,106,78,106
18945268.jpg,81,113,89,110
4771735876.jpg,80,103,82,107
2169121853.jpg,45,135,47,130
3777915073.jpg,82,118,84,118
3761584256.jpg,57,147,56,134
4013254976.jpg,65,134,70,125
2435838064.jpg,39,181,43,175
3117510822.jpg,101,123,108,132
